# pair_style table for LAMMPS; Created by ../../FunUQ_MD/potential.py; Sam Reeve; potential: morse; smoothing: 4th 	# pair_style table for LAMMPS; Created by ../../FunUQ_MD/potential.py; Sam Reeve; potential: buck; smoothing: 4th 
	
morse_1	buck_1
N 8000	N 8000
	
51 0.051 7332.06006471 30850.4131832	51 0.051 -4610887449.53 -1.41924857784e+12
52 0.052 7301.27430349 30721.1995435	52 0.052 -4103780829.32 -1.23886845244e+12
53 0.053 7270.61748545 30592.5264157	53 0.053 -3660560815.85 -1.08421749242e+12
54 0.054 7240.08907124 30464.3915404	54 0.054 -3272192837.5 -9.51239935122e+11
55 0.055 7209.68852371 30336.7926675	55 0.055 -2931054510.41 -8.3657804341e+11
56 0.056 7179.41530798 30209.7275563	56 0.056 -2630694590.43 -7.37442211533e+11
57 0.057 7149.26889142 30083.1939755	57 0.057 -2365636419.48 -6.51506997946e+11
58 0.058 7119.24874359 29957.1897031	58 0.058 -2131217055.56 -5.76827571192e+11
59 0.059 7089.35433631 29831.7125264	59 0.059 -1923455134.54 -5.11772297383e+11
60 0.06 7059.58514358 29706.760242	60 0.06 -1738941955.93 -4.54968145023e+11
61 0.061 7029.9406416 29582.3306557	61 0.061 -1574751410.05 -4.05256308558e+11
62 0.062 7000.42030876 29458.4215822	62 0.062 -1428365246.54 -3.61656010689e+11
63 0.063 6971.02362565 29335.0308458	63 0.063 -1297610877.18 -3.23334875319e+11
64 0.064 6941.75007501 29212.1562795	64 0.064 -1180609454.4 -2.89584598437e+11
65 0.065 6912.59914176 29089.7957256	65 0.065 -1075732401.08 -2.59800905796e+11
66 0.066 6883.57031294 28967.9470353	66 0.066 -981564912.857 -2.3346699101e+11
67 0.067 6854.66307778 28846.6080687	67 0.067 -896875230.606 -2.10139788757e+11
68 0.068 6825.87692761 28725.7766951	68 0.068 -820588702.121 -1.89438564733e+11
69 0.069 6797.2113559 28605.4507924	69 0.069 -751765830.082 -1.71035404708e+11
70 0.07 6768.66585824 28485.6282476	70 0.07 -689583647.289 -1.54647264956e+11
71 0.071 6740.23993232 28366.3069565	71 0.071 -633319876.491 -1.40029310142e+11
72 0.072 6711.93307794 28247.4848235	72 0.072 -582339426.796 -1.26969315826e+11
73 0.073 6683.74479698 28129.159762	73 0.073 -536082855.631 -1.15282953703e+11
74 0.074 6655.67459342 28011.3296939	74 0.074 -494056488.26 -1.04809810748e+11
75 0.075 6627.72197328 27893.99255	75 0.075 -455823938.447 -95410020092.1
76 0.076 6599.88644469 27777.1462697	76 0.076 -420998816.278 -86961403091.3
77 0.077 6572.16751781 27660.7888009	77 0.077 -389238444.112 -79357039622.8
78 0.078 6544.56470484 27544.9181	78 0.078 -360238430.53 -72503197950.5
79 0.079 6517.07752003 27429.5321323	79 0.079 -333727976.032 -66317567225.3
80 0.08 6489.70547967 27314.6288712	80 0.08 -309465804.169 -60727745270.2
81 0.081 6462.44810206 27200.2062988	81 0.081 -287236628.28 -55669942182.6
82 0.082 6435.30490751 27086.2624057	82 0.082 -266848077.839 -51087866782.9
83 0.083 6408.27541835 26972.7951906	83 0.083 -248128019.962 -46931768296.2
84 0.084 6381.3591589 26859.8026608	84 0.084 -230922221.289 -43157610095.6
85 0.085 6354.55565547 26747.2828319	85 0.085 -215092303.596 -39726356016.0
86 0.086 6327.86443633 26635.2337277	86 0.086 -200513953.347 -36603352811.5
87 0.087 6301.28503176 26523.6533803	87 0.087 -187075351.154 -33757794882.3
88 0.088 6274.81697397 26412.5398302	88 0.088 -174675792.007 -31162259527.7
89 0.089 6248.45979715 26301.8911258	89 0.089 -163224471.278 -28792302769.5
90 0.09 6222.21303742 26191.7053238	90 0.09 -152639415.001 -26626107285.5
91 0.091 6196.07623285 26081.980489	91 0.091 -142846535.929 -24644175253.1
92 0.092 6170.04892343 25972.7146943	92 0.092 -133778799.4 -22829059962.1
93 0.093 6144.13065108 25863.9060206	93 0.093 -125375485.231 -21165130950.4
94 0.094 6118.32095965 25755.552557	94 0.094 -117581533.697 -19638368175.2
95 0.095 6092.61939487 25647.6524004	95 0.095 -110346965.259 -18236181368.5
96 0.096 6067.02550438 25540.2036557	96 0.096 -103626365.059 -16947251274.5
97 0.097 6041.53883772 25433.2044356	97 0.097 -97378424.3759 -15761389925.2
98 0.098 6016.15894629 25326.652861	98 0.098 -91565532.2436 -14669417505.8
